alert_id,timestamp,trader_id,symbol,asset_class,order_to_trade_ratio,trade_velocity,price_deviation_pct,counterparty_concentration,time_clustering_5min,order_cancel_rate,volume_spike,spread_impact_bps,after_hours_trading,cross_account_pattern,previous_violations,account_age_days,avg_trade_size_usd,order_size_std,late_day_concentration,round_lot_pct,iceberg_order_flag,momentum_following,is_violation
ALT-00522,2025-12-14 22:41:30.076644,TR-6833,MSFT,Equity,9.18886384621309,1.3358910036072817,0.3476041773734527,0.23825081481446359,4,0.22317412362115094,0.9391574995770952,3.5024811689207467,0,0,0,2197,129518.02043678913,16210.798833934903,0.175960349010993,0.7943535388648635,0,0.31103184897014013,0
ALT-00738,2025-11-25 22:41:30.079981,TR-4185,AMZN,Option,5.817603603588252,2.4524727257109444,0.23783932467463859,0.36928169840632374,5,0.2524396786956036,2.9783867459875806,2.4411795883647436,0,0,1,1808,100959.65350310554,11757.472348626135,0.2339805703319968,0.7601759656117391,0,0.2034727095205714,0
ALT-00741,2025-11-21 22:41:30.080026,TR-7786,MSFT,Equity,1.4773689643641692,2.4166288668761045,0.4404413817881129,0.3588280665035496,5,0.3919449116860242,1.261505910314038,2.4080662367073766,0,0,0,2331,72385.09644669735,15774.686846136616,0.12851393759850568,0.9326870660848583,1,0.49216574409312275,0
ALT-00661,2025-10-17 22:41:30.078820,TR-7974,META,Equity,11.394832641114274,1.2788624283984462,1.3213834425499023,0.2527920181851784,1,0.20188801709553186,2.4343773910165503,14.026458264352613,0,0,0,1755,115038.88327036476,13784.456337131578,0.2916178546747659,0.9336620281519894,0,0.14043543766968597,0
ALT-00412,2025-12-07 22:41:30.074944,TR-3785,NVDA,Equity,6.230099667860324,4.663102126377928,1.4093300719419406,0.44545642096686244,2,0.34027997041813407,0.9512585941294724,11.44462784810291,0,0,0,2469,65488.8204514768,22065.985716703,0.16119838108281623,0.889262613322264,0,0.3230754764741811,0
ALT-00679,2025-12-09 22:41:30.079089,TR-5127,MSFT,Equity,7.440345321465392,2.236094948402782,0.2651851653152829,0.18918000342310146,2,0.3618792482764249,0.8538565847890399,16.023355171176163,0,0,0,2869,6725.185675547564,8035.742614079242,0.10177721963620072,0.7316704946533193,1,0.12526421126565573,0
ALT-00627,2025-11-22 22:41:30.078280,TR-7783,AAPL,Option,9.494643034826042,3.102672527864193,1.2736811557174093,0.28253036952895944,5,0.20309853962760113,1.3496783513723252,7.392762088967033,0,0,0,2803,90427.6747220993,11906.135659828988,0.32354344294834614,0.6747485551176673,0,0.10426891513953365,0
ALT-00514,2025-11-25 22:41:30.076524,TR-7642,META,Equity,7.346297356793237,1.3516276705610022,0.776768492576621,0.37880520557370523,6,0.29323128216396765,1.7245491239765922,11.68010676984136,0,0,0,2431,5850.385543638389,2884.2368428866366,0.3643774203289035,0.6272576461819518,0,0.38272143848420204,0
ALT-00860,2025-11-28 22:41:30.081860,TR-7799,GOOGL,Equity,10.142399383895203,0.5851535252563344,0.6185426046163054,0.10098183457753769,6,0.1470848491236186,1.3881250063978892,12.978707647606061,0,0,0,1114,81837.03824133764,2655.695398208334,0.39052938276774096,0.9105090409031068,0,0.2036901948580633,0
ALT-00137,2026-01-14 22:41:30.070695,TR-5542,SPY,Equity,20.320869859502686,9.04294366088136,6.794188723376419,0.7609301483192621,13,0.8211503967547161,12.173915759954426,71.46233135556908,1,1,2,66,183809.7717065775,42971.91653807988,0.5682659034199994,0.3298519257348327,1,0.8739436142604522,1
ALT-00812,2025-11-27 22:41:30.081135,TR-3133,AMZN,Equity,9.200533938880499,3.2793261833473415,1.3306472421014366,0.30105592199021414,8,0.18589455473888342,1.4131701733105277,4.01820114693516,0,1,0,2953,33371.61286567465,24351.457130087318,0.14593403373165953,0.6942446485068227,0,0.33623586309543396,0
ALT-00077,2025-12-14 22:41:30.069732,TR-2419,GOOGL,Option,28.40984848873241,16.82160098980824,2.758312817262803,0.6581991790646278,22,0.7460927301697408,4.538875046642491,82.8239444151609,0,1,5,352,80712.36740934121,69410.1343956969,0.6748773585428974,0.6662054709167655,0,0.8525365013926669,1
ALT-00637,2025-12-27 22:41:30.078439,TR-2609,META,Equity,5.430537477831665,0.6991399381806173,1.1471685387699944,0.3834723354047621,6,0.25186192581591293,2.826352869859079,7.097773328069367,0,0,0,2319,41576.66090899971,13821.289838349936,0.34714052497616144,0.6361013663074263,0,0.4772082838582945,0
